"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Technical","","210","0","2165","0","0"
"CRM","Technical","","266","0","8","0","0"
"CRM","Functional","","168","0","14","0","0"
"Dragon","Technical","","3","0","32","0","0"
"Dolphin","Functional","","5","11","61","0","0"
"Dolphin","Technical","","5","14","62","0","0"
"Pegasus","placeholder","","0","0","0","29","0"
"Hummingbird","placeholder","","0","0","0","52","0"
"Dragon","Functional","","3","0","54","0","0"
"Techno","placeholder","","0","0","0","17","0"
"Dolphin","","","0","3","0","0","0"
"CRM","placeholder","","0","0","0","24","0"
"Dragon","placeholder","","0","0","0","3","0"
"Bamboo","Functional","","1","2","2","0","0"
"Bamboo","Technical","","1","2","2","0","0"
"Arise","Functional","","1","0","4","0","0"
"Arise","Technical","","1","0","4","0","0"
"MobileBackend","placeholder","","0","0","0","1","0"
