"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Technical","","189","0","306","0","0"
"Pegasus","Technical","","0","0","0","53","0"
"Dragon","Technical","","3","0","8","0","0"
"Bamboo","Functional","","2","4","4","0","0"
"Bamboo","Technical","","2","4","4","0","0"
"Pegasus","Functional","","0","0","0","34","0"
"Dolphin","Functional","","0","24","44","0","0"
"Dolphin","Technical","","1","40","53","0","0"
"Techno","Technical","","0","0","0","37","0"
"CRM","Functional","","15","0","30","0","0"
"Dragon","Functional","","4","0","6","0","0"
"Arise","Functional","","0","0","10","0","0"
"Arise","Technical","","0","0","10","0","0"
"CRM","Technical","","14","0","4","0","0"
"Dolphin","","","0","0","1","0","0"
"CRM","placeholder","","0","0","0","5","0"
"Hummingbird","placeholder","","0","0","0","3","0"
"Pegasus","placeholder","","0","0","0","1","0"
