"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 31 02:29:56 UTC 2026","Mon Aug 31 02:29:56 UTC 2026","0","3 Team Techno - UCL","Functional Tests","Endpoint Tests","membership","","get all active membership for business_partner_id",""
"failed","Mon Aug 31 02:30:01 UTC 2026","Mon Aug 31 02:30:01 UTC 2026","0","3 Team Techno - UCL","Technical Tests","SponsoredBrand","GET /unified_commercial_logic/internal_api/api/sponsored_brand_v1/{id} - Retrieve SponsoredBrandV1 By ID","","GET /unified_commercial_logic/internal_api/api/sponsored_brand_v1/{id} - Retrieve SponsoredBrandV1 By ID",""
"passed","Mon Aug 31 02:33:09 UTC 2026","Mon Aug 31 02:33:09 UTC 2026","35","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","trending-products-controller","GET /public_api/trending/notifications","","GET /public_api/trending/notifications",""
"passed","Mon Aug 31 02:29:21 UTC 2026","Mon Aug 31 02:29:22 UTC 2026","60","4. Team CRM |CRM Staging","Endpoints Tests","Accounts","Get Account Information","","Get Account Information",""
"skipped","Mon Aug 31 02:29:11 UTC 2026","Mon Aug 31 02:29:11 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Endpoints Tests","Shop Import & Onboarding Backend","/offers/count - get count","","/offers/count - get count",""
"failed","Mon Aug 31 02:29:19 UTC 2026","Mon Aug 31 02:29:19 UTC 2026","67","4. Team CRM |CRM Staging","Business Scenarios Tests","Lead","Get a Lead","","Get a Lead",""
"broken","Mon Aug 31 02:37:46 UTC 2026","Mon Aug 31 02:38:06 UTC 2026","20023","Dolphin","Technical","","","recallWhitespaceQueryTest","AI Search recall: whitespace-only query → business failure",""
"passed","Mon Aug 31 02:32:28 UTC 2026","Mon Aug 31 02:32:29 UTC 2026","306","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Login","user Info","","user Info",""
"skipped","Mon Aug 31 02:29:11 UTC 2026","Mon Aug 31 02:29:11 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Endpoints Tests","Supplier Registration","EP","","business_sectors - Get business sectors",""
"failed","Mon Aug 31 02:30:05 UTC 2026","Mon Aug 31 02:30:05 UTC 2026","0","3 Team Techno - UCL","Technical Tests","Membership","GET /unified_commercial_logic/internal_api/api/membership/{id} - Retrieve Membership fields By ID","","GET /unified_commercial_logic/internal_api/api/membership/{id} - Retrieve Membership fields By ID",""
"skipped","Mon Aug 31 02:29:11 UTC 2026","Mon Aug 31 02:29:11 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Business Scenarios Tests","Business Insights","Dashboard smoke flow","","Set User Activity",""
"passed","Mon Aug 31 02:40:02 UTC 2026","Mon Aug 31 02:40:02 UTC 2026","36","Dolphin","Technical","","","getCategoryListWlwWithPreferredSuperCategoryIdsTest","v-recommend category list -- wlw, with preferredSuperCategoryIds",""
"passed","Mon Aug 31 02:32:54 UTC 2026","Mon Aug 31 02:32:54 UTC 2026","17","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","login-controller","POST /public_api/auth/code/verify [NEG] Missing Auth/API-Key","","POST /public_api/auth/code/verify [NEG] Missing Auth/API-Key",""
"passed","Mon Aug 31 02:29:18 UTC 2026","Mon Aug 31 02:29:18 UTC 2026","52","4. Team CRM |CRM Staging","Business Scenarios Tests","Disable Hubspot","Check hubspot is true","","Check hubspot is true",""
"passed","Mon Aug 31 02:32:56 UTC 2026","Mon Aug 31 02:32:56 UTC 2026","22","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","product-controller","GET /public_api/products/{productId} [NEG] Missing Auth/API-Key","","GET /public_api/products/{productId} [NEG] Missing Auth/API-Key",""
"passed","Mon Aug 31 02:29:13 UTC 2026","Mon Aug 31 02:29:13 UTC 2026","65","4. Team CRM |CRM Staging","Business Scenarios Tests","Tasks","Smoke test Create task","","Smoke test Create task",""
"failed","Mon Aug 31 02:30:07 UTC 2026","Mon Aug 31 02:30:07 UTC 2026","0","3 Team Techno - UCL","Technical Tests","GoogleAd","GET /unified_commercial_logic/internal_api/api/google_ad/{id} - Retrieve GoogleAd By ID","","GET /unified_commercial_logic/internal_api/api/google_ad/{id} - Retrieve GoogleAd By ID",""
"failed","Mon Aug 31 02:32:31 UTC 2026","Mon Aug 31 02:32:31 UTC 2026","90","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Company","Companies / products EN","","Companies / products EN",""
"passed","Mon Aug 31 02:32:30 UTC 2026","Mon Aug 31 02:32:30 UTC 2026","17","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Support","Supportmasterdata_EN","","Supportmasterdata_EN",""
"passed","Mon Aug 31 02:31:13 UTC 2026","Mon Aug 31 02:31:14 UTC 2026","1234","1 Team Hummingbird - BFF | EP app","Endpoint tests","Search","Product Search EN","","Product Search EN",""
"passed","Mon Aug 31 02:32:36 UTC 2026","Mon Aug 31 02:32:36 UTC 2026","42","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","ai-company-search-controller","POST /public_api/search/ai/supplier/recall","","POST /public_api/search/ai/supplier/recall",""
"passed","Mon Aug 31 02:33:05 UTC 2026","Mon Aug 31 02:33:05 UTC 2026","40","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","search-controller","GET /public_api/products/recommendations [SEC] Injection Probe","","GET /public_api/products/recommendations [SEC] Injection Probe",""
"passed","Mon Aug 31 02:33:09 UTC 2026","Mon Aug 31 02:33:09 UTC 2026","17","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","user-controller","GET /public_api/user/userInfo [NEG] Missing Auth/API-Key","","GET /public_api/user/userInfo [NEG] Missing Auth/API-Key",""
"broken","Mon Aug 31 02:31:44 UTC 2026","Mon Aug 31 02:32:04 UTC 2026","20010","Dolphin","Technical","","","pvMatchMissingQpInfoTest","AI Search PV match: missing qpInfo → business failure",""
"broken","Mon Aug 31 02:33:44 UTC 2026","Mon Aug 31 02:34:04 UTC 2026","20018","Dolphin","Technical","","","recallLongQueryTruncationTest","AI Search recall: long query truncated, still success",""
"failed","Mon Aug 31 02:32:42 UTC 2026","Mon Aug 31 02:32:42 UTC 2026","12","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","conversation-controller","PUT /public_api/conversation/userConversations/{conversationId}/messages/markAsRead","","PUT /public_api/conversation/userConversations/{conversationId}/messages/markAsRead",""
"failed","Mon Aug 31 02:32:33 UTC 2026","Mon Aug 31 02:32:33 UTC 2026","132","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Homepage, products","product recommendations DE","","product recommendations DE",""
"passed","Mon Aug 31 02:33:08 UTC 2026","Mon Aug 31 02:33:08 UTC 2026","21","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","supplier-visitors-controller","GET /","","GET /",""
"failed","Mon Aug 31 02:32:46 UTC 2026","Mon Aug 31 02:32:46 UTC 2026","13","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","conversation-controller","GET /public_api/conversation/userConversations/{userId}/unreadCount [NEG] Expired Token","","GET /public_api/conversation/userConversations/{userId}/unreadCount [NEG] Expired Token",""
"passed","Mon Aug 31 02:32:55 UTC 2026","Mon Aug 31 02:32:55 UTC 2026","19","1.1 Team Hummingbird - BFF | WLW app","Technical Tests","login-controller","POST /public_api/auth/changePassword [NEG] Missing Auth/API-Key","","POST /public_api/auth/changePassword [NEG] Missing Auth/API-Key",""
"broken","Mon Aug 31 02:35:05 UTC 2026","Mon Aug 31 02:35:25 UTC 2026","20016","Dolphin","Technical","","","recallPageSizeZeroNormalizedTest","AI Search recall: pageSize=0 normalized to default",""
"skipped","Mon Aug 31 02:29:11 UTC 2026","Mon Aug 31 02:29:11 UTC 2026","0","7. Team Pegasus | Pegasus Staging","Business Scenarios Tests","Supplier Registration","EP - Lead create and update","","leads/{lead_id} - Update a lead",""
"failed","Mon Aug 31 02:32:35 UTC 2026","Mon Aug 31 02:32:35 UTC 2026","94","1.1 Team Hummingbird - BFF | WLW app","Endpoint tests","Conversations","Decline RFQ","","Decline RFQ",""
