"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Technical","","180","0","315","0","0"
"Dolphin","Technical","","2","28","30","0","0"
"CRM","Functional","","18","0","73","0","0"
"Techno","Technical","","0","0","0","37","0"
"Pegasus","Functional","","0","0","0","34","0"
"Dolphin","Functional","","1","12","21","0","0"
"Pegasus","Technical","","0","0","0","53","0"
"CRM","Technical","","28","0","8","0","0"
"Arise","Functional","","1","0","4","0","0"
"Arise","Technical","","1","0","4","0","0"
"Dragon","Technical","","3","0","8","0","0"
"Dragon","Functional","","3","0","7","0","0"
"Pegasus","placeholder","","0","0","0","1","0"
"Bamboo","Functional","","1","2","2","0","0"
"Bamboo","Technical","","1","2","2","0","0"
"Hummingbird","placeholder","","0","0","0","3","0"
"CRM","placeholder","","0","0","0","5","0"
"Dolphin","","","0","0","1","0","0"
