"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Technical","","222","0","2153","0","0"
"CRM","Functional","","168","0","14","0","0"
"CRM","Technical","","232","0","8","0","0"
"Dragon","Technical","","3","0","32","0","0"
"Dragon","Functional","","3","0","54","0","0"
"Dolphin","","","0","3","0","0","0"
"Dolphin","Functional","","13","11","53","0","0"
"Dolphin","Technical","","13","14","54","0","0"
"Bamboo","Functional","","1","2","2","0","0"
"Bamboo","Technical","","1","2","2","0","0"
"Arise","Functional","","1","0","4","0","0"
"Arise","Technical","","1","0","4","0","0"
