"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dragon","Technical","","3","0","32","0","0"
"Hummingbird","Technical","","214","0","2161","0","0"
"CRM","Technical","","232","0","8","0","0"
"CRM","Functional","","168","0","14","0","0"
"Dragon","Functional","","2","0","55","0","0"
"Dolphin","Functional","","10","11","56","0","0"
"Dolphin","Technical","","10","14","57","0","0"
"Dolphin","","","0","3","0","0","0"
"Arise","Functional","","1","0","4","0","0"
"Arise","Technical","","1","0","4","0","0"
"Bamboo","Functional","","1","2","2","0","0"
"Bamboo","Technical","","1","2","2","0","0"
