"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Hummingbird","Technical","","190","0","305","0","0"
"CRM","Functional","","15","0","30","0","0"
"CRM","Technical","","14","0","4","0","0"
"Dolphin","Functional","","0","26","42","0","0"
"Dolphin","Technical","","1","42","51","0","0"
"Pegasus","Technical","","0","0","0","53","0"
"Techno","Technical","","122","0","0","0","0"
"Dragon","Functional","","3","0","7","0","0"
"CRM","placeholder","","0","0","0","5","0"
"Pegasus","Functional","","0","0","0","34","0"
"Dragon","Technical","","3","0","8","0","0"
"Bamboo","Functional","","2","4","4","0","0"
"Bamboo","Technical","","2","4","4","0","0"
"Arise","Functional","","0","0","10","0","0"
"Arise","Technical","","0","0","10","0","0"
"Dolphin","","","0","0","1","0","0"
"Hummingbird","placeholder","","0","0","0","3","0"
"Pegasus","placeholder","","0","0","0","1","0"
