"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dolphin","Functional","","2","24","42","0","0"
"Dolphin","Technical","","3","40","51","0","0"
"Pegasus","Technical","","0","0","0","53","0"
"Hummingbird","Technical","","181","0","314","0","0"
"CRM","Functional","","14","0","77","0","0"
"Techno","Technical","","0","0","0","37","0"
"Arise","Functional","","2","0","8","0","0"
"Arise","Technical","","2","0","8","0","0"
"Pegasus","Functional","","0","0","0","34","0"
"CRM","Technical","","4","0","32","0","0"
"Dragon","Technical","","3","0","8","0","0"
"Bamboo","Functional","","2","4","4","0","0"
"Bamboo","Technical","","2","4","4","0","0"
"Dragon","Functional","","3","0","7","0","0"
"Hummingbird","placeholder","","0","0","0","3","0"
"CRM","placeholder","","0","0","0","5","0"
"Pegasus","placeholder","","0","0","0","1","0"
"Dolphin","","","0","0","1","0","0"
